"";"shan";"aspt";"poly";"ovov";"rich";"typo";"RR"
"I5103000190711";2,83031203152988;7,47619047619048;0,248941253570006;0,025408884214156;46;11;"LIRR T"
"I5103000260912";3,39581188611319;7,28571428571429;0,193267722745541;0,0183997302784102;50;11;"IRR T"
"I5103000280813";4,12165066940137;7,34615384615385;0,190423960753756;0,0285301449576929;52;11;"LIRR T"
"I5103000290708";1,76173235519993;7,23076923076923;0,221999402779278;0,0183191348738136;50;11;"LIRR T"
"I5105000300811";2,28828665200701;5,63636363636364;0,389270910665034;0,152337760119416;39;49;"IRR T"
"I5106000041208";3,65824634988065;5,42857142857143;0,442370844218716;0,284565732658869;19;49;"IRR T"
"I5106000080709";2,35388538808024;4,93333333333333;0,485800698263279;0,274106318543788;31;49;"IRR T"
"I5106000170810";3,25734337263855;5,58333333333333;0,501971456034932;0,157565412373375;29;49;"IRR T"
"I5106350070709";2,31955593247054;6,05882352941176;0,37079403339806;0,170106777144465;30;50;"IRR T"
"I5106350220713";2,84867933787101;4,90909090909091;0,434386182506124;0,229962830946157;24;50;"IRR T"
"I5106350240810";3,15487895634814;5,61538461538461;0,380167301493119;0,134447125500299;23;50;"IRR T"
"I5106350300708";2,4158659182716;6,1875;0,405129572755712;0,140389450361986;27;50;"IRR T"
"I5106820050707";1,65032161808043;6,28571428571429;0,313240065654617;0,149086447752154;27;47;"IRR T"
"I5106820070808";3,22631747251914;6;0,364179871200575;0,152561238278076;34;47;"IRR T"
"I5106820070909";3,73897372145646;6,4;0,342060986744127;0,125371032438652;38;47;"LIRR T"
"I5106820290713";2,16229079910404;6,5;0,358805227651781;0,217336442072314;26;47;"IRR T"
"I5106820290811";1,77104569098503;6,56521739130435;0,376449699674571;0,208614820176405;29;47;"IRR T"
"I5106850080709";2,03827300212654;6,23076923076923;0,441104430954351;0,260541780011175;26;49;"IRR T"
"I5106850161013";2,69851955436119;4,16666666666667;0,365351860589023;0,229178261538831;36;49;"IRR T"
"I5106850170810";3,6280099300972;5,6;0,348104959753331;0,134036304917152;34;49;"IRR T"
"I5106850200808";1,57577912387608;6,08333333333333;0,366948790550057;0,207090165354952;21;49;"IRR T"
"I5109000041208";2,74067482926402;4,88888888888889;0,538105247772986;0,187651311940478;13;49;"IRR T"
"I5110000050912";2,31203666276824;6,88888888888889;0,261944327447158;0,0836546850811078;57;50;"IRR T"
"I5110000081008";4,21488363691618;6,56756756756757;0,264351195379907;0,0718407480238368;71;50;"IRR T"
"I5110000100811";1,29624710762113;6,62962962962963;0,276075780165899;0,0738542607236396;55;50;"IRR T"
"I5110000120810";3,01792571875203;6,25;0,273622870562619;0,104956392722929;40;50;"IRR T"
"I5110000170909";3,96837860902523;6,25;0,242105751299033;0,0646442433312374;61;50;"IRR T"
"I5110000230713";2,92079880016728;6,35;0,257021864817719;0,0537439693957004;39;50;"IRR T"
"I5111530060707";1,36530819835491;4,91666666666667;0,491446456848419;0,343627189426823;30;49;"IRR T"
"I5111530070809";1,41395744786458;5,70588235294118;0,418864408464218;0,25079126138163;31;49;"IRR T"
"I5111530090713";1,45840297783092;5,46153846153846;0,469990450556259;0,269865786454105;23;49;"IRR T"
"I5111530310708";1,61425619379498;4,5;0,512995791163506;0,340954543694552;21;49;"IRR T"
"I5111620080709";0,80778432481544;3,2;0,583306947376972;0,503451164680493;10;49;"IRR T"
"I5111620200808";2,50518546225799;5,66666666666667;0,488319311593898;0,14499648500905;12;49;"IRR T"
"I5111650060707";1,85868807623735;5,21428571428571;0,450245994549413;0,142407397322699;30;50;"IRR T"
"I5111650070709";2,76531482713108;6,11111111111111;0,411727374212942;0,171416409554833;28;50;"IRR T"
"I5111650090713";1,46301768944374;4,53333333333333;0,579218347099289;0,341456698101517;22;50;"IRR T"
"I5111650310708";1,76133847503405;5,5;0,456541468327392;0,114336136174774;25;50;"IRR T"
"I5114000030908";3,56461123459014;5,76470588235294;0,366912753041073;0,128604637242093;39;49;"IRR T"
"I5114000070709";3,13631854524068;6,08695652173913;0,357376726509656;0,11779503843041;42;49;"IRR T"
"I5115000070709";3,21213527912354;6,05263157894737;0,316067738347406;0,110211578046953;35;49;"IRR T"
"I5115000240810";2,73804166700073;6,05;0,310378727631041;0,0854440967255519;36;49;"IRR T"
"I5115000240908";3,94670375445848;6,2962962962963;0,318241744479697;0,11010389191413;56;49;"IRR T"
"I5115000300813";3,57530256629864;5,73684210526316;0,389681833121147;0,150292249612333;40;49;"IRR T"
"I5115600060912";3,7702409428256;6,57142857142857;0,237980614878977;0,0733317218660429;54;49;"IRR T"
"I5115600160709";3,69810857048967;6,57142857142857;0,224038923959837;0,026760658177714;35;49;"IRR T"
"I5115600160810";4,20673849541021;7,04545454545455;0,206418086100453;0,0367927244921429;51;49;"IRR T"
"I5115600160911";2,54253262455545;6,90909090909091;0,241088276287031;0,0677180404059869;47;49;"IRR T"
"I5115600210808";3,78138029321573;6,72727272727273;0,260751390271364;0,0185711498583644;27;49;"IRR T"
"I5115600300813";4,13458062281417;6,92592592592593;0,227463411920138;0,0619268323624117;51;49;"IRR T"
"I5115950070809";3,12907653725843;6,61111111111111;0,379312485497998;0,132443288741676;38;49;"IRR T"
"I5116050070709";2,94299092136104;6,38888888888889;0,315333744536589;0,11195199544512;49;49;"IRR T"
"I5116100040810";3,41780594981436;6;0,341898126819989;0,0946808350081594;37;49;"IRR T"
"I5116100100811";2,52808651750584;6;0,35027988239669;0,0850251807103897;40;49;"IRR T"
"I5116100170712";2,83261280972668;6,21739130434783;0,380954728175955;0,119889774853803;42;49;"IRR T"
"I5116100180713";3,34559868471321;6,46666666666667;0,418172040303782;0,108172816706894;37;49;"IRR T"
"I5116100210709";3,61250881604259;6,26666666666667;0,317812780335628;0,100136316328403;35;49;"IRR T"
"I5116100280708";2,24760571123977;6,1875;0,423640612980936;0,220768849953194;30;49;"IRR T"
"I5116600070709";3,35019500933691;6,35;0,416290561479024;0,162771704404708;44;49;"IRR T"
